player_display_name,position,team,games_played,ppr_per_game,ppr_std_dev,target_share_pct,yards_per_carry,yards_per_reception,ppr_change_24_to_25,career_avg_ppr,career_games_played,composite_score,position_rank,tier,vorp
Jonathan Taylor,RB,IND,17,21.311764705882354,12.441507261629376,10.396975425330812,4.9071207430340555,8.217391304347826,3.8331932773109223,18.14344537815126,41,18.729270510586815,4,2,10.193436072034913
Jahmyr Gibbs,RB,DET,17,21.582352941176474,13.52720570249625,17.09090909090909,5.032921810699588,8.0,0.2352941176470651,19.68980392156863,49,17.594779465721718,5,2,9.058945027169816
James Cook,RB,BUF,17,17.776470588235295,9.201598326633578,8.350730688935283,5.2459546925566345,8.818181818181818,1.1077205882352956,16.044485294117646,50,15.34830726671581,6,2,6.812472828163909
Javonte Williams,RB,DAL,16,15.175,6.0170313832210205,8.40197693574959,4.765873015873016,3.914285714285714,5.886764705882353,11.887745098039217,49,15.1359199967984,7,2,6.600085558246498
Travis Etienne,RB,JAX,17,14.935294117647059,6.944326927110232,10.358565737051793,4.257692307692308,8.11111111111111,6.255294117647059,13.409019607843137,49,14.728584274808108,8,2,6.192749836256207
Chase Brown,RB,CIN,17,16.623529411764707,7.3461324358267515,14.497528830313014,4.392241379310345,6.333333333333333,0.6860294117647072,12.339787581699348,45,14.625498504546094,9,3,6.089664065994192
Jaylen Warren,RB,PIT,16,13.56875,5.615421474238006,8.704061895551257,4.540284360189573,8.325,5.295416666666666,11.131674836601306,48,13.472748557728599,10,3,4.936914119176697
Cam Skattebo,RB,NYG,8,15.9625,8.618408454332753,6.36182902584493,4.0594059405940595,8.625,,15.9625,8,13.376977463700175,11,3,4.841143025148273
Kyren Williams,RB,LA,17,15.488235294117647,6.1148264849606715,8.605851979345955,4.833976833976834,7.805555555555555,-1.5180147058823543,17.914828431372552,45,13.198382936864741,12,3,4.662548498312839
D'Andre Swift,RB,CHI,16,14.287500000000001,6.6714191393835645,9.022556390977442,4.874439461883408,8.794117647058824,1.6698529411764724,13.120465686274509,49,12.787030140537874,13,3,4.2511957019859725
Josh Jacobs,RB,GB,15,15.806666666666667,9.019222857451798,9.843400447427292,3.97008547008547,7.833333333333333,-1.4345098039215696,15.659537456008044,45,12.670546868254656,14,3,4.134712429702754
Omarion Hampton,RB,LAC,9,15.077777777777776,8.07508169893311,6.493506493506493,4.395161290322581,6.0,,15.077777777777776,9,12.655253268097843,15,3,4.119418829545941
Derrick Henry,RB,BAL,17,16.441176470588236,10.002690814446469,5.159705159705159,5.195439739413681,10.0,-3.3470588235294123,16.91294117647059,51,12.43625157919547,16,4,3.900417140643569
Bucky Irving,RB,TB,10,13.85,5.608178551603602,6.481481481481481,3.398843930635838,9.233333333333333,-0.5264705882352949,14.113235294117647,27,12.00960525804833,17,4,3.473770819496428
Ashton Jeanty,RB,LV,17,14.41764705882353,8.685277434696433,14.807302231237324,3.6654135338345863,6.290909090909091,,14.41764705882353,17,11.8120638284146,18,4,3.2762293898626975
Phil Mafah,RB,DAL,1,10.9,,0.3294892915980231,3.6,5.5,,10.9,1,10.9,19,4,2.3641655614480985
Kenny Gainwell,RB,PIT,17,13.01764705882353,9.377915233016719,16.44100580270793,4.7105263157894735,6.657534246575342,,7.595416666666668,50,10.204272488918514,20,4,1.6684380503666123
Quinshon Judkins,RB,CLE,14,12.12857142857143,6.729662075346105,6.90978886756238,3.5956521739130434,6.576923076923077,,12.12857142857143,14,10.109672805967598,21,4,1.5738383674156964
Breece Hall,RB,NYJ,16,12.97875,7.621515050609468,10.38961038961039,4.382716049382716,9.722222222222221,-2.0775000000000006,15.041078431372549,49,10.069045484817158,22,4,1.5332110462652562
Rhamondre Stevenson,RB,NE,14,12.771428571428572,10.052969601177447,7.708333333333334,4.638461538461539,10.78125,1.0447619047619057,12.213253968253968,41,10.06896626250391,23,4,1.533131823952008
Saquon Barkley,RB,PHI,16,14.51875,7.193721220620105,10.775862068965516,4.071428571428571,7.378378378378378,-7.6875,17.55595238095238,46,10.054383633813968,24,4,1.5185491952620662
Rico Dowdle,RB,CAR,17,12.723529411764707,9.801819308919438,10.416666666666668,4.559322033898305,7.615384615384615,0.36102941176470615,10.268259803921568,49,9.891292442618287,25,5,1.355458004066385
RJ Harvey,RB,DEN,17,12.152941176470588,7.655971333464065,10.08695652173913,3.6986301369863015,7.574468085106383,,12.152941176470588,17,9.85614977643137,26,5,1.3203153378794674
Zach Charbonnet,RB,SEA,16,11.3375,6.6987436633048345,5.274725274725275,3.967391304347826,7.2,0.3433823529411768,9.654289215686275,49,9.430891606890905,27,5,0.8950571683390027
J.K. Dobbins,RB,DEN,10,11.59,4.099986449842108,2.4347826086956523,5.045751633986928,3.3636363636363638,-3.163846153846155,12.681282051282052,24,9.41085021889352,28,5,0.8750157803416183
TreVeyon Henderson,RB,NE,17,12.129411764705884,9.597054542011989,8.75,5.061111111111111,6.314285714285714,,12.129411764705884,17,9.250295402102287,29,5,0.7144609635503851
Tony Pollard,RB,TEN,17,10.929411764705883,5.6194711390266034,7.750472589792061,4.471074380165289,6.242424242424242,-1.6143382352941185,12.189093137254902,50,8.759268952409666,30,5,0.22343451385776447
Trey Benson,RB,ARI,4,8.850000000000001,1.0472185381603334,2.593192868719611,5.517241379310345,4.923076923076923,,6.383333333333334,16,8.535834438551902,31,5,0.0
James Conner,RB,ARI,3,11.1,3.966106403010389,1.4586709886547813,2.96875,4.75,-4.762500000000001,14.154166666666667,32,8.481418079096882,32,5,-0.05441635945502021
Tyrone Tracy Jr.,RB,NYG,15,10.72,7.660119357518431,9.542743538767395,4.204545454545454,8.0,-0.003529411764706225,10.721764705882354,32,8.42090536921506,33,5,-0.1149290693368421
Kenneth Walker III,RB,SEA,17,11.288235294117648,6.529632680417519,7.9120879120879115,4.647058823529412,9.096774193548388,-5.184491978609625,13.684765300059418,43,7.7739978964095044,34,5,-0.7618365421423974
Audric Estimé,RB,NO,5,9.620000000000001,6.550725150698967,2.3008849557522124,4.304347826086956,8.583333333333334,,6.683076923076923,18,7.654782454790311,35,5,-0.8810519837615907
Aaron Jones,RB,MIN,12,9.891666666666667,4.508871726100027,8.798283261802576,4.151515151515151,7.107142857142857,-4.320098039215685,12.122355912061794,40,7.242975737071955,36,5,-1.2928587014799469
Woody Marks,RB,HOU,16,9.06875,6.934524136521553,6.50994575045208,3.586734693877551,8.666666666666666,,9.06875,16,6.988392759043534,37,5,-1.5474416795083679
Kyle Monangai,RB,CHI,17,8.629411764705882,6.279606347722199,5.639097744360902,4.633136094674557,9.11111111111111,,8.629411764705882,17,6.745529860389222,38,5,-1.7903045781626794
Tyjae Spears,RB,TEN,13,8.592307692307692,5.551645632672283,9.45179584120983,3.9305555555555554,5.866666666666666,-0.8743589743589748,9.035344394167923,42,6.664506310198314,39,5,-1.8713281283535874
Kimani Vidal,RB,LAC,13,9.069230769230769,8.350188083249446,4.081632653061225,4.148387096774194,8.5,,6.351282051282052,22,6.564174344255935,40,5,-1.9716600942959666
Chris Rodriguez Jr.,RB,WAS,12,7.666666666666667,4.839859752538541,0.9259259259259258,4.464285714285714,10.0,,5.45925925925926,28,6.214708740905104,41,5,-2.3211256976467975
Jacory Croskey-Merritt,RB,WAS,17,8.25294117647059,7.468610785067296,3.009259259259259,4.6,7.555555555555555,,8.25294117647059,17,6.0123579409504,42,5,-2.523476497601502
